timestamp,open,high,low,close,volume,trade_count,vwap
2022-05-27 20:00:00+00:00,149.64,149.95,149.48,149.93,11284400,4673,149.640729
2022-05-27 21:00:00+00:00,149.92,149.95,149.64,149.85,215203,1968,149.734582
2022-05-27 22:00:00+00:00,149.8301,150.0,149.8,149.99,50182,1164,149.931834
2022-05-27 23:00:00+00:00,149.99,150.0,149.97,150.0,134782,2045,149.993151
2022-05-31 04:00:00+00:00,150.69,150.69,150.69,150.69,137,2,150.69
2022-05-31 06:00:00+00:00,150.0,150.0,150.0,150.0,223,22,150.000493
2022-05-31 08:00:00+00:00,150.0,151.0,148.89,150.01,102167,3073,149.81305
2022-05-31 09:00:00+00:00,150.0,150.0,148.99,149.05,72026,2030,149.290115
2022-05-31 10:00:00+00:00,149.01,149.37,148.73,149.23,52561,1240,149.003378
2022-05-31 11:00:00+00:00,149.15,149.78,149.15,149.5,400083,4534,149.437978
2022-05-31 12:00:00+00:00,149.48,149.59,148.59,148.6898,454095,6847,148.919446
2022-05-31 13:00:00+00:00,148.65,150.26,147.58,147.881,12980443,138874,148.572669
2022-05-31 14:00:00+00:00,147.875,148.79,146.84,148.519,11999471,119647,147.910896
2022-05-31 15:00:00+00:00,148.51,150.2401,147.855,149.973,9547789,87912,148.888382
2022-05-31 16:00:00+00:00,149.9796,150.58,149.23,149.9699,10467611,81044,150.001294
2022-05-31 17:00:00+00:00,149.96,150.66,149.36,150.235,9567119,67249,149.924141
2022-05-31 18:00:00+00:00,150.23,150.49,148.765,149.095,7196636,64957,149.837118
2022-05-31 19:00:00+00:00,149.0901,150.51,148.73,148.76,13182711,113081,149.61339
2022-05-31 20:00:00+00:00,148.84,149.28,148.5,148.9102,26578726,3844,148.842999
2022-05-31 21:00:00+00:00,148.9548,148.99,148.84,148.93,68540,868,148.895291
2022-05-31 22:00:00+00:00,148.95,149.59,148.93,149.33,57512,755,149.079569
2022-05-31 23:00:00+00:00,149.33,149.6,149.25,149.5,61480,974,149.46585
2022-06-01 08:00:00+00:00,148.95,149.48,148.35,148.76,38217,813,148.743092
2022-06-01 09:00:00+00:00,148.85,149.04,148.76,148.85,9966,259,148.937675
2022-06-01 10:00:00+00:00,148.84,148.96,148.6,148.75,25485,441,148.803876
2022-06-01 11:00:00+00:00,148.73,149.27,148.52,149.2601,160218,2708,148.888883
2022-06-01 12:00:00+00:00,149.32,149.89,149.32,149.6,483386,5271,149.605909
2022-06-01 13:00:00+00:00,149.56,151.52,149.51,151.3401,12160717,109403,150.700591
2022-06-01 14:00:00+00:00,151.3687,151.74,148.66,149.815,14731633,133217,149.888158
2022-06-01 15:00:00+00:00,149.81,149.81,147.91,148.24,8655433,82173,148.595219
2022-06-01 16:00:00+00:00,148.2309,148.59,147.68,148.25,5893680,59557,148.190695
2022-06-01 17:00:00+00:00,148.25,148.88,148.01,148.575,6063783,54778,148.531846
2022-06-01 18:00:00+00:00,148.57,149.86,148.5115,149.2175,7369912,65302,149.257457
2022-06-01 19:00:00+00:00,149.22,149.99,148.52,148.7,12113306,101539,149.380371
2022-06-01 20:00:00+00:00,148.7,148.79,148.39,148.4075,5805493,3025,148.704745
2022-06-01 21:00:00+00:00,148.5,148.65,148.4902,148.62,35577,826,148.584125
2022-06-01 22:00:00+00:00,148.63,148.69,148.42,148.53,69331,805,148.587277
2022-06-01 23:00:00+00:00,148.48,148.5,147.9,148.01,89584,1011,148.257894
2022-06-02 08:00:00+00:00,148.57,149.6,148.57,149.29,37568,784,149.259749
2022-06-02 09:00:00+00:00,149.23,149.48,149.23,149.34,7804,150,149.351109
2022-06-02 10:00:00+00:00,149.34,149.7,149.19,149.6,33215,423,149.445456
2022-06-02 11:00:00+00:00,149.58,149.65,149.2205,149.4,180718,2209,149.425095
2022-06-02 12:00:00+00:00,149.41,149.47,148.66,148.7,438426,4523,149.050172
2022-06-02 13:00:00+00:00,148.74,148.92,146.86,148.1601,10592686,99234,147.821027
2022-06-02 14:00:00+00:00,148.16,149.03,147.24,148.23,12627004,105101,148.062419
2022-06-02 15:00:00+00:00,148.21,149.9399,148.11,149.4412,10153770,83714,149.080647
2022-06-02 16:00:00+00:00,149.45,150.69,149.3512,150.48,7625980,66308,150.203777
2022-06-02 17:00:00+00:00,150.49,150.6153,149.96,150.305,5505786,50000,150.2876
2022-06-02 18:00:00+00:00,150.31,150.83,150.0701,150.12,5721156,50203,150.516115
2022-06-02 19:00:00+00:00,150.1091,151.27,150.06,151.23,11528573,97331,150.72346
2022-06-02 20:00:00+00:00,151.2,151.25,150.8,151.15,7116000,2777,151.206599
2022-06-02 21:00:00+00:00,151.1599,151.21,151.03,151.0902,43817,911,151.127265
2022-06-02 22:00:00+00:00,151.1,151.49,151.1,151.41,67416,1229,151.359778
2022-06-02 23:00:00+00:00,151.41,151.6,151.41,151.55,68910,938,151.518378
2022-06-03 04:00:00+00:00,150.79,150.79,150.79,150.79,148,1,150.79
2022-06-03 05:00:00+00:00,150.76,151.0,150.76,151.0,736,14,150.938098
2022-06-03 08:00:00+00:00,150.7,150.7,149.87,150.39,65707,1094,150.202842
2022-06-03 09:00:00+00:00,150.29,150.32,150.02,150.24,27018,448,150.157309
2022-06-03 10:00:00+00:00,150.2,150.27,147.65,148.21,180939,2442,148.849646
2022-06-03 11:00:00+00:00,148.34,148.85,147.58,147.65,718775,8523,148.196225
2022-06-03 12:00:00+00:00,147.6512,148.94,147.07,147.56,1574400,15211,147.747059
2022-06-03 13:00:00+00:00,147.6199,148.05,145.72,147.135,14362911,139110,146.744098
2022-06-03 14:00:00+00:00,147.15,147.4782,145.25,145.52,14426804,137295,146.321436
2022-06-03 15:00:00+00:00,145.51,145.585,144.46,145.1316,10795944,111534,144.981846
2022-06-03 16:00:00+00:00,145.13,146.105,145.01,145.95,7346214,72842,145.578042
2022-06-03 17:00:00+00:00,145.9521,146.3442,144.85,145.0499,7750180,70043,145.478996
2022-06-03 18:00:00+00:00,145.0451,145.72,144.92,145.48,6567915,57577,145.346542
2022-06-03 19:00:00+00:00,145.48,145.74,144.81,145.39,13457527,115903,145.325814
2022-06-03 20:00:00+00:00,145.38,145.57,145.24,145.4,8501655,3358,145.38092
2022-06-03 21:00:00+00:00,145.3901,145.64,145.3507,145.47,79455,1819,145.506622
2022-06-03 22:00:00+00:00,145.47,145.47,145.15,145.2,62816,1187,145.296271
2022-06-03 23:00:00+00:00,145.21,145.33,145.1,145.2,51993,973,145.195349
2022-06-06 06:00:00+00:00,146.76,146.76,146.76,146.76,172,2,146.76
2022-06-06 08:00:00+00:00,146.19,147.72,146.19,147.68,66305,1558,147.406164
2022-06-06 09:00:00+00:00,147.6,147.67,147.27,147.3712,20725,541,147.503531
2022-06-06 10:00:00+00:00,147.44,148.0,147.44,147.71,42331,794,147.695523
2022-06-06 11:00:00+00:00,147.75,147.75,147.14,147.4,291026,4484,147.350167
2022-06-06 12:00:00+00:00,147.43,147.64,146.95,146.96,553757,5711,147.258841
2022-06-06 13:00:00+00:00,146.96,148.31,146.75,147.83,10360902,102641,147.634006
2022-06-06 14:00:00+00:00,147.83,148.5689,147.75,148.17,9982715,95029,148.200816
